Moneyness,Price % European Double KO,Delta % European Double KO,Vega European Double KO
0.874,0.065457522,0.026494256,-2.179658158
0.876,0.065506211,0.026061434,-2.179283986
0.878,0.065581425,0.025738326,-2.179345679
0.88,0.065636981,0.025304959,-2.178720122
0.882,0.065695995,0.024937829,-2.1779811
0.884,0.065781613,0.0245597,-2.177640291
0.886,0.065801377,0.024137674,-2.175997517
0.888,0.065870698,0.023802889,-2.174894307
0.89,0.065943666,0.023381075,-2.17366879
0.892,0.065950664,0.023001901,-2.171470976
0.894,0.0660308,0.02262289,-2.169775137
0.896,0.066068236,0.022213252,-2.167769977
0.898,0.066109085,0.021846165,-2.165225734
0.9,0.066153417,0.021466339,-2.162921875
0.902,0.066177948,0.021044048,-2.159910272
0.904,0.066206006,0.020662837,-2.156800746
0.906,0.066260472,0.020253898,-2.15397847
0.908,0.066295161,0.019885841,-2.150661226
0.91,0.066333268,0.01950317,-2.147271161
0.912,0.066351695,0.019108344,-2.143390404
0.914,0.066327223,0.018659088,-2.138731136
0.916,0.066398605,0.0183305,-2.13533634
0.918,0.06638093,0.017906325,-2.130438016
0.92,0.066435967,0.017512297,-2.126469817
0.922,0.066424983,0.01712697,-2.121441526
0.924,0.066440384,0.016717393,-2.116435038
0.926,0.066436166,0.016323364,-2.111200664
0.928,0.066435102,0.015968375,-2.105882673
0.93,0.066460565,0.015558044,-2.100683028
0.932,0.066419883,0.015108973,-2.094508442
0.934,0.06645199,0.01473607,-2.089088189
0.936,0.066440962,0.014341664,-2.082886045
0.938,0.066433346,0.013984453,-2.076575078
0.94,0.066382824,0.01358974,-2.069867068
0.942,0.066404844,0.013194733,-2.063865026
0.944,0.066360717,0.012799314,-2.05658172
0.946,0.066389204,0.012404063,-2.050359734
0.948,0.066351526,0.012008161,-2.042834759
0.95,0.066363165,0.011629287,-2.036301966
0.952,0.066308692,0.011251454,-2.028478571
0.954,0.066326722,0.010818431,-2.021761669
0.956,0.066278463,0.010475995,-2.013728357
0.958,0.066256414,0.010042775,-2.006190586
0.96,0.066191314,0.009664368,-1.997948633
0.962,0.066175443,0.009265649,-1.990225891
0.964,0.066162603,0.008866357,-1.981745018
0.966,0.066152738,0.008486693,-1.97381056
0.968,0.066076547,0.008106521,-1.964528349
0.97,0.066049534,0.007670942,-1.95644498
0.972,0.065979314,0.007323361,-1.946944619
0.974,0.065958363,0.006908493,-1.938675406
0.976,0.065917122,0.006526368,-1.929628785
0.978,0.065855767,0.00614396,-1.9206025
0.98,0.065843619,0.005728278,-1.911192649
0.982,0.065764905,0.005344778,-1.902130437
0.984,0.065735577,0.005015978,-1.892652378
0.986,0.065663055,0.004631396,-1.883456761
0.988,0.065593307,0.004214183,-1.872274488
0.99,0.065549488,0.003851803,-1.863638746
0.992,0.065508553,0.003465483,-1.852927773
0.994,0.065447205,0.003054633,-1.843358063
0.996,0.065365483,0.002659721,-1.832921436
0.998,0.065309698,0.002271395,-1.82209275
1,0.065210283,0.001930822,-1.811748652
1.002,0.065136555,0.001510708,-1.800990946
1.004,0.065065401,0.001144901,-1.790127803
1.006,0.064997042,0.00077848,-1.779133788
1.008,0.064954262,0.000386248,-1.768838923
1.01,0.064844876,1.40555E-05,-1.758397725
1.012,0.064784258,-0.000350422,-1.747062597
1.014,0.0646799,-0.000748918,-1.735186339
1.016,0.064624466,-0.001093009,-1.724872844
