Moneyness,American UP&OUT Price % Rebate = 0%,American UP&OUT Delta % Rebate = 0%,American UP&OUT Vega Rebate = 0%
0.6000,0.0024,0.0790,0.2711
0.6020,0.0024,0.0802,0.2720
0.6040,0.0025,0.0813,0.2729
0.6060,0.0025,0.0825,0.2737
0.6080,0.0026,0.0837,0.2745
0.6100,0.0026,0.0849,0.2751
0.6120,0.0027,0.0860,0.2757
0.6140,0.0027,0.0872,0.2763
0.6160,0.0028,0.0884,0.2767
0.6180,0.0028,0.0896,0.2769
0.6200,0.0029,0.0907,0.2770
0.6220,0.0030,0.0919,0.2770
0.6240,0.0030,0.0930,0.2770
0.6260,0.0031,0.0942,0.2768
0.6280,0.0031,0.0953,0.2766
0.6300,0.0032,0.0965,0.2763
0.6320,0.0032,0.0976,0.2759
0.6340,0.0033,0.0987,0.2755
0.6360,0.0033,0.0999,0.2749
0.6380,0.0034,0.1010,0.2743
0.6400,0.0035,0.1021,0.2734
0.6420,0.0035,0.1032,0.2725
0.6440,0.0036,0.1043,0.2714
0.6460,0.0036,0.1054,0.2703
0.6480,0.0037,0.1064,0.2691
0.6500,0.0037,0.1075,0.2678
0.6520,0.0038,0.1086,0.2664
0.6540,0.0039,0.1096,0.2649
0.6560,0.0039,0.1107,0.2633
0.6580,0.0040,0.1117,0.2616
0.6600,0.0040,0.1127,0.2597
0.6620,0.0041,0.1137,0.2578
0.6640,0.0042,0.1147,0.2558
0.6660,0.0042,0.1157,0.2537
0.6680,0.0043,0.1167,0.2514
0.6700,0.0043,0.1176,0.2492
0.6720,0.0044,0.1186,0.2468
0.6740,0.0045,0.1195,0.2442
0.6760,0.0045,0.1204,0.2416
0.6780,0.0046,0.1213,0.2389
0.6800,0.0046,0.1222,0.2361
0.6820,0.0047,0.1231,0.2332
0.6840,0.0048,0.1240,0.2302
0.6860,0.0048,0.1248,0.2271
0.6880,0.0049,0.1256,0.2239
0.6900,0.0050,0.1265,0.2206
0.6920,0.0050,0.1272,0.2172
0.6940,0.0051,0.1280,0.2138
0.6960,0.0051,0.1288,0.2102
0.6980,0.0052,0.1296,0.2066
0.7000,0.0053,0.1303,0.2029
0.7020,0.0053,0.1310,0.1991
0.7040,0.0054,0.1317,0.1951
0.7060,0.0054,0.1324,0.1912
0.7080,0.0055,0.1331,0.1871
0.7100,0.0056,0.1337,0.1830
0.7120,0.0056,0.1343,0.1788
0.7140,0.0057,0.1349,0.1744
0.7160,0.0058,0.1355,0.1701
0.7180,0.0058,0.1361,0.1656
0.7200,0.0059,0.1366,0.1611
0.7220,0.0059,0.1372,0.1565
0.7240,0.0060,0.1377,0.1518
0.7260,0.0061,0.1382,0.1471
0.7280,0.0061,0.1386,0.1422
0.7300,0.0062,0.1391,0.1374
0.7320,0.0062,0.1395,0.1324
0.7340,0.0063,0.1399,0.1274
0.7360,0.0064,0.1403,0.1224
0.7380,0.0064,0.1406,0.1173
0.7400,0.0065,0.1410,0.1121
0.7420,0.0065,0.1413,0.1068
0.7440,0.0066,0.1416,0.1016
0.7460,0.0066,0.1419,0.0962
0.7480,0.0067,0.1421,0.0908
0.7500,0.0068,0.1424,0.0854
0.7520,0.0068,0.1426,0.0799
0.7540,0.0069,0.1428,0.0744
0.7560,0.0069,0.1429,0.0688
0.7580,0.0070,0.1431,0.0632
0.7600,0.0070,0.1432,0.0576
0.7620,0.0071,0.1433,0.0519
0.7640,0.0072,0.1434,0.0462
0.7660,0.0072,0.1435,0.0404
0.7680,0.0073,0.1435,0.0347
0.7700,0.0073,0.1436,0.0289
0.7720,0.0074,0.1436,0.0231
0.7740,0.0074,0.1436,0.0173
0.7760,0.0075,0.1435,0.0114
0.7780,0.0075,0.1435,0.0056
0.7800,0.0076,0.1434,-0.0003
0.7820,0.0076,0.1433,-0.0062
0.7840,0.0077,0.1432,-0.0121
