Moneyness,American UP&OUT Price % Rebate = 0%,American UP&OUT Delta % Rebate = 0%,American UP&OUT Vega Rebate = 0%
0.7860,0.0077,0.1430,-0.0180
0.7880,0.0078,0.1429,-0.0239
0.7900,0.0078,0.1427,-0.0299
0.7920,0.0079,0.1425,-0.0358
0.7940,0.0079,0.1423,-0.0417
0.7960,0.0080,0.1420,-0.0476
0.7980,0.0080,0.1417,-0.0536
0.8000,0.0080,0.1415,-0.0595
0.8020,0.0081,0.1412,-0.0654
0.8040,0.0081,0.1408,-0.0713
0.8060,0.0082,0.1405,-0.0772
0.8080,0.0082,0.1401,-0.0831
0.8100,0.0083,0.1397,-0.0890
0.8120,0.0083,0.1393,-0.0949
0.8140,0.0083,0.1389,-0.1007
0.8160,0.0084,0.1384,-0.1065
0.8180,0.0084,0.1380,-0.1123
0.8200,0.0085,0.1375,-0.1181
0.8220,0.0085,0.1370,-0.1239
0.8240,0.0085,0.1364,-0.1296
0.8260,0.0086,0.1359,-0.1353
0.8280,0.0086,0.1353,-0.1409
0.8300,0.0086,0.1347,-0.1466
0.8320,0.0087,0.1341,-0.1521
0.8340,0.0087,0.1335,-0.1577
0.8360,0.0087,0.1329,-0.1632
0.8380,0.0088,0.1322,-0.1687
0.8400,0.0088,0.1316,-0.1741
0.8420,0.0088,0.1309,-0.1795
0.8440,0.0089,0.1302,-0.1849
0.8460,0.0089,0.1294,-0.1901
0.8480,0.0089,0.1287,-0.1954
0.8500,0.0089,0.1279,-0.2006
0.8520,0.0090,0.1272,-0.2058
0.8540,0.0090,0.1264,-0.2108
0.8560,0.0090,0.1256,-0.2159
0.8580,0.0090,0.1248,-0.2209
0.8600,0.0091,0.1239,-0.2258
0.8620,0.0091,0.1231,-0.2307
0.8640,0.0091,0.1222,-0.2355
0.8660,0.0091,0.1213,-0.2402
0.8680,0.0091,0.1205,-0.2449
0.8700,0.0092,0.1196,-0.2495
0.8720,0.0092,0.1186,-0.2541
0.8740,0.0092,0.1177,-0.2586
0.8760,0.0092,0.1168,-0.2630
0.8780,0.0092,0.1158,-0.2673
0.8800,0.0092,0.1149,-0.2716
0.8820,0.0092,0.1139,-0.2758
0.8840,0.0093,0.1129,-0.2799
0.8860,0.0093,0.1119,-0.2840
0.8880,0.0093,0.1109,-0.2880
0.8900,0.0093,0.1099,-0.2919
0.8920,0.0093,0.1089,-0.2957
0.8940,0.0093,0.1078,-0.2995
0.8960,0.0093,0.1068,-0.3031
0.8980,0.0093,0.1057,-0.3067
0.9000,0.0093,0.1046,-0.3103
0.9020,0.0093,0.1036,-0.3137
0.9040,0.0093,0.1025,-0.3171
0.9060,0.0093,0.1014,-0.3203
0.9080,0.0093,0.1003,-0.3235
0.9100,0.0093,0.0992,-0.3266
0.9120,0.0093,0.0981,-0.3297
0.9140,0.0093,0.0969,-0.3326
0.9160,0.0093,0.0958,-0.3354
0.9180,0.0093,0.0947,-0.3382
0.9200,0.0093,0.0935,-0.3409
0.9220,0.0093,0.0924,-0.3435
0.9240,0.0093,0.0912,-0.3460
0.9260,0.0093,0.0901,-0.3484
0.9280,0.0093,0.0889,-0.3507
0.9300,0.0093,0.0877,-0.3530
0.9320,0.0093,0.0866,-0.3551
0.9340,0.0093,0.0854,-0.3572
0.9360,0.0092,0.0842,-0.3592
0.9380,0.0092,0.0830,-0.3611
0.9400,0.0092,0.0818,-0.3629
0.9420,0.0092,0.0807,-0.3646
0.9440,0.0092,0.0795,-0.3662
0.9460,0.0092,0.0783,-0.3678
0.9480,0.0092,0.0771,-0.3692
0.9500,0.0091,0.0759,-0.3706
0.9520,0.0091,0.0747,-0.3719
0.9540,0.0091,0.0735,-0.3731
0.9560,0.0091,0.0723,-0.3742
0.9580,0.0091,0.0711,-0.3752
0.9600,0.0090,0.0699,-0.3761
0.9620,0.0090,0.0687,-0.3769
0.9640,0.0090,0.0676,-0.3777
0.9660,0.0090,0.0664,-0.3783
0.9680,0.0089,0.0652,-0.3789
0.9700,0.0089,0.0640,-0.3794
0.9720,0.0089,0.0628,-0.3798
0.9740,0.0089,0.0616,-0.3801
0.9760,0.0088,0.0604,-0.3803
0.9780,0.0088,0.0593,-0.3804
0.9800,0.0088,0.0581,-0.3805
0.9820,0.0087,0.0569,-0.3804
0.9840,0.0087,0.0557,-0.3803
0.9860,0.0087,0.0546,-0.3801
0.9880,0.0086,0.0534,-0.3798
0.9900,0.0086,0.0522,-0.3795
0.9920,0.0086,0.0511,-0.3790
0.9940,0.0085,0.0499,-0.3785
0.9960,0.0085,0.0488,-0.3779
0.9980,0.0085,0.0477,-0.3772
1.0000,0.0084,0.0465,-0.3764
1.0020,0.0084,0.0454,-0.3756
1.0040,0.0083,0.0443,-0.3746
1.0060,0.0083,0.0432,-0.3736
1.0080,0.0082,0.0421,-0.3726
1.0100,0.0082,0.0410,-0.3714
1.0120,0.0082,0.0399,-0.3702
1.0140,0.0081,0.0388,-0.3689
1.0160,0.0081,0.0377,-0.3675
1.0180,0.0080,0.0367,-0.3661
1.0200,0.0080,0.0356,-0.3645
1.0220,0.0079,0.0346,-0.3630
1.0240,0.0079,0.0335,-0.3613
1.0260,0.0078,0.0325,-0.3596
1.0280,0.0078,0.0315,-0.3578
1.0300,0.0077,0.0305,-0.3559
1.0320,0.0077,0.0295,-0.3540
1.0340,0.0076,0.0285,-0.3520
1.0360,0.0076,0.0275,-0.3499
1.0380,0.0075,0.0265,-0.3478
1.0400,0.0075,0.0255,-0.3456
1.0420,0.0074,0.0246,-0.3434
1.0440,0.0074,0.0236,-0.3411
1.0460,0.0073,0.0227,-0.3387
1.0480,0.0073,0.0218,-0.3363
1.0500,0.0072,0.0209,-0.3339
1.0520,0.0072,0.0200,-0.3313
1.0540,0.0071,0.0191,-0.3287
1.0560,0.0070,0.0182,-0.3261
1.0580,0.0070,0.0173,-0.3234
1.0600,0.0069,0.0165,-0.3207
1.0620,0.0069,0.0156,-0.3179
1.0640,0.0068,0.0148,-0.3151
1.0660,0.0067,0.0140,-0.3122
1.0680,0.0067,0.0132,-0.3093
1.0700,0.0066,0.0124,-0.3063
1.0720,0.0066,0.0116,-0.3033
1.0740,0.0065,0.0108,-0.3002
1.0760,0.0064,0.0101,-0.2971
1.0780,0.0064,0.0094,-0.2940
1.0800,0.0063,0.0086,-0.2908
1.0820,0.0062,0.0079,-0.2876
1.0840,0.0062,0.0072,-0.2843
1.0860,0.0061,0.0065,-0.2810
1.0880,0.0060,0.0059,-0.2777
1.0900,0.0060,0.0052,-0.2744
1.0920,0.0059,0.0045,-0.2710
1.0940,0.0058,0.0039,-0.2676
1.0960,0.0058,0.0033,-0.2641
1.0980,0.0057,0.0027,-0.2606
1.1000,0.0056,0.0021,-0.2571
1.1020,0.0056,0.0015,-0.2536
1.1040,0.0055,0.0010,-0.2500
1.1060,0.0054,0.0004,-0.2465
1.1080,0.0054,-0.0001,-0.2429
1.1100,0.0053,-0.0006,-0.2392
1.1120,0.0052,-0.0011,-0.2356
1.1140,0.0052,-0.0016,-0.2319
1.1160,0.0051,-0.0021,-0.2283
1.1180,0.0050,-0.0025,-0.2246
1.1200,0.0049,-0.0030,-0.2209
1.1220,0.0049,-0.0034,-0.2171
1.1240,0.0048,-0.0038,-0.2134
1.1260,0.0047,-0.0042,-0.2097
1.1280,0.0047,-0.0046,-0.2059
1.1300,0.0046,-0.0050,-0.2021
1.1320,0.0045,-0.0053,-0.1984
1.1340,0.0044,-0.0057,-0.1946
1.1360,0.0044,-0.0060,-0.1908
1.1380,0.0043,-0.0063,-0.1870
1.1400,0.0042,-0.0066,-0.1832
1.1420,0.0041,-0.0069,-0.1794
1.1440,0.0041,-0.0071,-0.1757
1.1460,0.0040,-0.0074,-0.1719
1.1480,0.0039,-0.0076,-0.1681
1.1500,0.0038,-0.0078,-0.1643
1.1520,0.0038,-0.0080,-0.1605
1.1540,0.0037,-0.0082,-0.1567
1.1560,0.0036,-0.0084,-0.1529
1.1580,0.0035,-0.0085,-0.1492
1.1600,0.0035,-0.0087,-0.1454
1.1620,0.0034,-0.0088,-0.1417
1.1640,0.0033,-0.0089,-0.1379
1.1660,0.0032,-0.0090,-0.1342
1.1680,0.0032,-0.0091,-0.1305
1.1700,0.0031,-0.0091,-0.1268
1.1720,0.0030,-0.0092,-0.1231
1.1740,0.0029,-0.0092,-0.1194
1.1760,0.0028,-0.0093,-0.1157
1.1780,0.0028,-0.0093,-0.1121
1.1800,0.0027,-0.0092,-0.1085
1.1820,0.0026,-0.0092,-0.1049
1.1840,0.0025,-0.0092,-0.1013
1.1860,0.0025,-0.0091,-0.0977
1.1880,0.0024,-0.0091,-0.0942
1.1900,0.0023,-0.0090,-0.0907
1.1920,0.0022,-0.0089,-0.0872
1.1940,0.0022,-0.0088,-0.0837
1.1960,0.0021,-0.0086,-0.0803
1.1980,0.0020,-0.0085,-0.0769
1.2000,0.0019,-0.0083,-0.0735
1.2020,0.0018,-0.0082,-0.0701
1.2040,0.0018,-0.0080,-0.0668
1.2060,0.0017,-0.0078,-0.0635
1.2080,0.0016,-0.0076,-0.0602
1.2100,0.0015,-0.0073,-0.0570
1.2120,0.0015,-0.0071,-0.0538
1.2140,0.0014,-0.0069,-0.0506
1.2160,0.0013,-0.0066,-0.0475
1.2180,0.0012,-0.0063,-0.0444
1.2200,0.0011,-0.0060,-0.0413
1.2220,0.0011,-0.0057,-0.0383
1.2240,0.0010,-0.0054,-0.0353
1.2260,0.0009,-0.0050,-0.0323
1.2280,0.0008,-0.0047,-0.0294
1.2300,0.0008,-0.0043,-0.0265
1.2320,0.0007,-0.0040,-0.0237
1.2340,0.0006,-0.0036,-0.0209
1.2360,0.0005,-0.0032,-0.0181
1.2380,0.0005,-0.0027,-0.0154
1.2400,0.0004,-0.0023,-0.0127
1.2420,0.0003,-0.0019,-0.0101
1.2440,0.0002,-0.0014,-0.0075
1.2460,0.0002,-0.0010,-0.0050
1.2480,0.0001,-0.0005,-0.0025
1.2500,0.0000,0.0000,0.0000
1.2520,0.0000,0.0000,0.0000
1.2540,0.0000,0.0000,0.0000
1.2560,0.0000,0.0000,0.0000
1.2580,0.0000,0.0000,0.0000
1.2600,0.0000,0.0000,0.0000
1.2620,0.0000,0.0000,0.0000
1.2640,0.0000,0.0000,0.0000
1.2660,0.0000,0.0000,0.0000
1.2680,0.0000,0.0000,0.0000
1.2700,0.0000,0.0000,0.0000
1.2720,0.0000,0.0000,0.0000
1.2740,0.0000,0.0000,0.0000
1.2760,0.0000,0.0000,0.0000
1.2780,0.0000,0.0000,0.0000
1.2800,0.0000,0.0000,0.0000
1.2820,0.0000,0.0000,0.0000
1.2840,0.0000,0.0000,0.0000
1.2860,0.0000,0.0000,0.0000
1.2880,0.0000,0.0000,0.0000
1.2900,0.0000,0.0000,0.0000
1.2920,0.0000,0.0000,0.0000
1.2940,0.0000,0.0000,0.0000
1.2960,0.0000,0.0000,0.0000
1.2980,0.0000,0.0000,0.0000
1.3000,0.0000,0.0000,0.0000
1.3020,0.0000,0.0000,0.0000
1.3040,0.0000,0.0000,0.0000
1.3060,0.0000,0.0000,0.0000
1.3080,0.0000,0.0000,0.0000
1.3100,0.0000,0.0000,0.0000
1.3120,0.0000,0.0000,0.0000
1.3140,0.0000,0.0000,0.0000
1.3160,0.0000,0.0000,0.0000
1.3180,0.0000,0.0000,0.0000
1.3200,0.0000,0.0000,0.0000
1.3220,0.0000,0.0000,0.0000
1.3240,0.0000,0.0000,0.0000
1.3260,0.0000,0.0000,0.0000
1.3280,0.0000,0.0000,0.0000
1.3300,0.0000,0.0000,0.0000
1.3320,0.0000,0.0000,0.0000
1.3340,0.0000,0.0000,0.0000
1.3360,0.0000,0.0000,0.0000
1.3380,0.0000,0.0000,0.0000
1.3400,0.0000,0.0000,0.0000
1.3420,0.0000,0.0000,0.0000
1.3440,0.0000,0.0000,0.0000
1.3460,0.0000,0.0000,0.0000
1.3480,0.0000,0.0000,0.0000
1.3500,0.0000,0.0000,0.0000
1.3520,0.0000,0.0000,0.0000
1.3540,0.0000,0.0000,0.0000
1.3560,0.0000,0.0000,0.0000
1.3580,0.0000,0.0000,0.0000
1.3600,0.0000,0.0000,0.0000
1.3620,0.0000,0.0000,0.0000
1.3640,0.0000,0.0000,0.0000
1.3660,0.0000,0.0000,0.0000
1.3680,0.0000,0.0000,0.0000
1.3700,0.0000,0.0000,0.0000
1.3720,0.0000,0.0000,0.0000
1.3740,0.0000,0.0000,0.0000
1.3760,0.0000,0.0000,0.0000
1.3780,0.0000,0.0000,0.0000
1.3800,0.0000,0.0000,0.0000
1.3820,0.0000,0.0000,0.0000
1.3840,0.0000,0.0000,0.0000
1.3860,0.0000,0.0000,0.0000
1.3880,0.0000,0.0000,0.0000
1.3900,0.0000,0.0000,0.0000
1.3920,0.0000,0.0000,0.0000
1.3940,0.0000,0.0000,0.0000
1.3960,0.0000,0.0000,0.0000
1.3980,0.0000,0.0000,0.0000
